fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.68
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.68000000001
(1) Full-time worker,(1) Male,12,(1) Strongly agree,4.375
(2) Part-time worker,NA,10,(2) Agree,15.53
(1) Full-time worker,(2) Female,9,(1) Strongly agree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11.4
(1) Full-time worker,(1) Male,12,(2) Agree,11
(1) Full-time worker,(2) Female,12,(1) Strongly agree,6.2875
(2) Part-time worker,(2) Female,12,(2) Agree,11.49
(1) Full-time worker,(2) Female,10,(2) Agree,18.53
(1) Full-time worker,(2) Female,10,(1) Strongly agree,6.875
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12
(2) Part-time worker,(2) Female,12,(1) Strongly agree,18
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,6,(2) Agree,22
(2) Part-time worker,(2) Female,12,(2) Agree,11.86666666667
(1) Full-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,11,(2) Agree,11
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,35.80246913581
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,9.5
(1) Full-time worker,(2) Female,12,(4) Disagree,11
(1) Full-time worker,(2) Female,12,(2) Agree,19.47
(1) Full-time worker,(2) Female,12,(1) Strongly agree,38.88888888889
(1) Full-time worker,(2) Female,9,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,(2) Agree,22.61904761905
(1) Full-time worker,(2) Female,12,(2) Agree,10.25
