fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.25
(2) Part-time worker,(2) Female,3,(1) Strongly agree,14
(1) Full-time worker,(2) Female,12,(2) Agree,10.5
(1) Full-time worker,(2) Female,12,(2) Agree,11
(2) Part-time worker,(2) Female,12,(5) Strongly disagree,8.15
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.75
(1) Full-time worker,(2) Female,9,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,15.72
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,9.4
(1) Full-time worker,(2) Female,12,(2) Agree,11.5
(1) Full-time worker,(2) Female,9,(2) Agree,20.67307692308
(2) Part-time worker,(2) Female,5,(2) Agree,13.5
(1) Full-time worker,(2) Female,4,(2) Agree,13.75
(1) Full-time worker,(2) Female,12,(2) Agree,15.39
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,48.61111111112
(2) Part-time worker,(2) Female,10,(4) Disagree,9.98
(2) Part-time worker,(2) Female,12,(1) Strongly agree,13.5
(1) Full-time worker,(2) Female,12,(4) Disagree,20
(2) Part-time worker,(2) Female,12,(1) Strongly agree,11.65
(1) Full-time worker,(2) Female,12,(4) Disagree,9.25
NA,(2) Female,9,(2) Agree,NA
(1) Full-time worker,(2) Female,10,(2) Agree,17.85714285715
(2) Part-time worker,(2) Female,9,(1) Strongly agree,11.36363636364
(1) Full-time worker,(2) Female,12,(2) Agree,8.56
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,17.25
(2) Part-time worker,(2) Female,2,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,10.25
(1) Full-time worker,(2) Female,8,(1) Strongly agree,9.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.68
(1) Full-time worker,(2) Female,9,(1) Strongly agree,2.84765068818
(2) Part-time worker,(2) Female,12,(1) Strongly agree,21.66666666667
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12
(1) Full-time worker,NA,12,(2) Agree,27
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,13.5
(2) Part-time worker,(2) Female,12,(2) Agree,8.5
(1) Full-time worker,(2) Female,12,(4) Disagree,15
(1) Full-time worker,(2) Female,10,(2) Agree,13.25
(1) Full-time worker,(2) Female,2,(2) Agree,13.49
(2) Part-time worker,(2) Female,12,(2) Agree,14.25
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,7,(2) Agree,15
(1) Full-time worker,(2) Female,9,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,8.97435897436
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,25
(2) Part-time worker,(2) Female,9,(2) Agree,13
(1) Full-time worker,(2) Female,8,(2) Agree,25.46296296297
(1) Full-time worker,(2) Female,10,NA,32.36111111112
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8.55000000001
(1) Full-time worker,(2) Female,1,(1) Strongly agree,7.8125
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,14.375
(1) Full-time worker,(2) Female,10,(2) Agree,15
(1) Full-time worker,(2) Female,9,(1) Strongly agree,16.66666666667
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,3,(1) Strongly agree,13.43
(1) Full-time worker,(2) Female,12,(4) Disagree,10.1
(1) Full-time worker,(2) Female,11,(1) Strongly agree,22
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12
(2) Part-time worker,(2) Female,12,(1) Strongly agree,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,15.5
(1) Full-time worker,(1) Male,12,(1) Strongly agree,14
(1) Full-time worker,(2) Female,11,NA,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10
(1) Full-time worker,(2) Female,9,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(2) Agree,27.16049382717
(2) Part-time worker,(2) Female,4,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,13.4
(1) Full-time worker,(2) Female,4,(1) Strongly agree,18
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16.10000000001
(1) Full-time worker,(2) Female,3,NA,NA
(2) Part-time worker,(2) Female,8,(1) Strongly agree,15.3
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,NA,(2) Agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.67521367522
(2) Part-time worker,(2) Female,9,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,10,(2) Agree,17.02127659575
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(4) Disagree,8.25
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11.82
(1) Full-time worker,(2) Female,7,(1) Strongly agree,15
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,12
(2) Part-time worker,(2) Female,9,(1) Strongly agree,16.10000000001
(1) Full-time worker,(2) Female,10,(1) Strongly agree,15.76
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,6,(2) Agree,18.79699248121
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.14285714286
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.9
(1) Full-time worker,(2) Female,10,(1) Strongly agree,15.44
(2) Part-time worker,(2) Female,10,(1) Strongly agree,14.29
(1) Full-time worker,(2) Female,4,(1) Strongly agree,9
(1) Full-time worker,(2) Female,3,(1) Strongly agree,8
(1) Full-time worker,(2) Female,12,(2) Agree,9.5
(2) Part-time worker,(2) Female,10,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(2) Agree,10.25
(1) Full-time worker,(2) Female,9,(1) Strongly agree,9.25925925926
(1) Full-time worker,(2) Female,12,(2) Agree,11
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,9,(1) Strongly agree,21.17647058824
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,9
(2) Part-time worker,(2) Female,3,(1) Strongly agree,9.5
(1) Full-time worker,(2) Female,1,(1) Strongly agree,7.25
(1) Full-time worker,(2) Female,12,(2) Agree,20.55
(1) Full-time worker,(2) Female,12,(2) Agree,8.75
(1) Full-time worker,(2) Female,12,(2) Agree,16.7004048583
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,19.5
(1) Full-time worker,(2) Female,9,(2) Agree,17.5
(2) Part-time worker,(2) Female,10,(1) Strongly agree,11
(1) Full-time worker,(2) Female,9,(2) Agree,12.35
(2) Part-time worker,(2) Female,9,(1) Strongly agree,20.20202020203
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,11,(2) Agree,13
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,9.6
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9
(1) Full-time worker,(2) Female,10,(2) Agree,8.25
(2) Part-time worker,(2) Female,12,(2) Agree,11
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,10
(1) Full-time worker,(2) Female,12,(2) Agree,13
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.69767441861
(1) Full-time worker,(2) Female,12,(4) Disagree,12.67
(1) Full-time worker,(2) Female,12,(2) Agree,8
(2) Part-time worker,(2) Female,12,(2) Agree,10.75
(1) Full-time worker,(2) Female,12,(2) Agree,14.8
(2) Part-time worker,(2) Female,8,(3) Neither agree nor disagree,18.38235294118
(2) Part-time worker,(2) Female,11,(1) Strongly agree,9
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(2) Part-time worker,(2) Female,9,(2) Agree,14.28
(2) Part-time worker,(2) Female,12,(2) Agree,11
(2) Part-time worker,(2) Female,8,(1) Strongly agree,9.375
(1) Full-time worker,(2) Female,2,(1) Strongly agree,12.6
(1) Full-time worker,(2) Female,12,(2) Agree,13
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,11,(1) Strongly agree,24.30555555556
(1) Full-time worker,(2) Female,9,(2) Agree,NA
(2) Part-time worker,(2) Female,3,(2) Agree,9
(2) Part-time worker,(2) Female,12,(4) Disagree,14
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,1.5625
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,8
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,17
(1) Full-time worker,(2) Female,11,(2) Agree,35.88516746412
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(2) Agree,11
(1) Full-time worker,(2) Female,4,(2) Agree,8
(1) Full-time worker,(2) Female,12,(2) Agree,13.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.5
NA,(2) Female,NA,NA,30.40935672515
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9
(2) Part-time worker,(2) Female,2,(2) Agree,11
(2) Part-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,10,(2) Agree,NA
NA,(2) Female,NA,(1) Strongly agree,16.28571428572
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.30000000001
(1) Full-time worker,(2) Female,12,(2) Agree,12.5
(1) Full-time worker,(2) Female,9,(1) Strongly agree,25.73099415205
(1) Full-time worker,(2) Female,9,(2) Agree,15.03759398497
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17
(1) Full-time worker,(2) Female,12,(2) Agree,17.61
(2) Part-time worker,(2) Female,6,(2) Agree,NA
(2) Part-time worker,(2) Female,10,(1) Strongly agree,16.57
(2) Part-time worker,(2) Female,9,(2) Agree,15.58441558442
(2) Part-time worker,(2) Female,9,(1) Strongly agree,19
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,7,(1) Strongly agree,10
(2) Part-time worker,(2) Female,10,(1) Strongly agree,9
(2) Part-time worker,(2) Female,12,(2) Agree,9.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17
(1) Full-time worker,(2) Female,3,(1) Strongly agree,24.03846153847
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.25
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,9.5
(1) Full-time worker,(2) Female,12,(4) Disagree,9
(1) Full-time worker,(2) Female,12,(2) Agree,12
(1) Full-time worker,(2) Female,12,(2) Agree,10
(2) Part-time worker,(2) Female,12,(2) Agree,7.4
(2) Part-time worker,(2) Female,10,(1) Strongly agree,17.39926739927
(1) Full-time worker,(2) Female,10,(1) Strongly agree,17.5
(1) Full-time worker,(2) Female,12,(2) Agree,8
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,25.74424242425
(1) Full-time worker,(2) Female,12,(2) Agree,14.66666666667
(1) Full-time worker,(2) Female,9,(1) Strongly agree,14.75
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14
(2) Part-time worker,(2) Female,5,(1) Strongly agree,15
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12.80303030304
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA
(2) Part-time worker,(2) Female,12,(2) Agree,22
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,9,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,10,(2) Agree,13.04347826087
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11.35
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,10,(1) Strongly agree,10.8695652174
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11.1
(1) Full-time worker,(2) Female,9,(1) Strongly agree,20
(2) Part-time worker,(2) Female,12,(1) Strongly agree,26.31578947369
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20.24291497976
(1) Full-time worker,(2) Female,12,(2) Agree,6.25
(1) Full-time worker,(2) Female,12,(2) Agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,26.66666666667
(1) Full-time worker,(2) Female,10,(2) Agree,16.65
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18.8475
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,16.25
(1) Full-time worker,(2) Female,1,(1) Strongly agree,13.83
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.75
(2) Part-time worker,(2) Female,6,(1) Strongly agree,8.1
(1) Full-time worker,(2) Female,12,(2) Agree,6.66666666667
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,8.6
(2) Part-time worker,(2) Female,4,(3) Neither agree nor disagree,9
(2) Part-time worker,(2) Female,12,(1) Strongly agree,33.33333333334
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.75
(1) Full-time worker,(2) Female,10,(1) Strongly agree,25.51020408164
(1) Full-time worker,(2) Female,10,(1) Strongly agree,13.5
(2) Part-time worker,(2) Female,5,(3) Neither agree nor disagree,51.42857142858
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.85
(1) Full-time worker,(2) Female,5,(2) Agree,15.7
(2) Part-time worker,(2) Female,10,(2) Agree,34
(2) Part-time worker,(2) Female,10,(1) Strongly agree,107.5
(1) Full-time worker,(2) Female,12,(4) Disagree,18
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.25
(1) Full-time worker,(2) Female,10,(2) Agree,12
(1) Full-time worker,(2) Female,3,(1) Strongly agree,7.25
(1) Full-time worker,(2) Female,12,(2) Agree,10.01538461539
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11.70731707318
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,13.25
(1) Full-time worker,(2) Female,1,(2) Agree,12
(1) Full-time worker,(2) Female,12,(4) Disagree,14
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8
(1) Full-time worker,(2) Female,1,(5) Strongly disagree,NA
(2) Part-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,9.79591836735
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.74509803922
(1) Full-time worker,(1) Male,8,(2) Agree,15
(1) Full-time worker,(2) Female,12,(4) Disagree,10.4
(1) Full-time worker,(2) Female,1,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,27.47252747253
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,11.111
(2) Part-time worker,(2) Female,9,(1) Strongly agree,25
(2) Part-time worker,(2) Female,8,(1) Strongly agree,NA
(1) Full-time worker,(1) Male,6,(3) Neither agree nor disagree,NA
(1) Full-time worker,(1) Male,12,(1) Strongly agree,13
(2) Part-time worker,(2) Female,6,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,(2) Agree,12.5
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,2.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.5
(1) Full-time worker,(2) Female,12,(2) Agree,8.22000000001
(1) Full-time worker,(2) Female,12,(2) Agree,13
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,9,(2) Agree,15.4
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,17.60000000001
(1) Full-time worker,(2) Female,12,(2) Agree,13.6
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11.5
(1) Full-time worker,(2) Female,11,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,10,(2) Agree,21.42857142858
(1) Full-time worker,(2) Female,12,(2) Agree,14
(1) Full-time worker,(2) Female,8,(2) Agree,12
(1) Full-time worker,(2) Female,9,(1) Strongly agree,4.2
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,11
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.75
(1) Full-time worker,(2) Female,12,(1) Strongly agree,26.66666666667
(1) Full-time worker,(2) Female,12,(1) Strongly agree,35
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11.7
(2) Part-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10.75
(2) Part-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15.01
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(2) Agree,11.875
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11.5
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(2) Part-time worker,(2) Female,12,(2) Agree,16
(1) Full-time worker,(1) Male,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,10,(2) Agree,13
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.75
(2) Part-time worker,(2) Female,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,9,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(4) Disagree,14.5
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,9,(2) Agree,8.09563409564
(1) Full-time worker,(2) Female,9,(1) Strongly agree,20.32
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,11.42857142858
(1) Full-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,9.375
(2) Part-time worker,(2) Female,10,(3) Neither agree nor disagree,9
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(2) Part-time worker,(2) Female,9,(2) Agree,10
(1) Full-time worker,(2) Female,9,(2) Agree,11.05
(2) Part-time worker,(2) Female,1,(2) Agree,12.25
(1) Full-time worker,(2) Female,12,(2) Agree,12
(2) Part-time worker,(2) Female,10,(1) Strongly agree,17
(2) Part-time worker,(2) Female,10,(2) Agree,18
(2) Part-time worker,(2) Female,9,(1) Strongly agree,22.5
(1) Full-time worker,(2) Female,3,(1) Strongly agree,18.75
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,11
(2) Part-time worker,(2) Female,12,(2) Agree,8
(1) Full-time worker,(2) Female,12,(1) Strongly agree,28.84615384616
(1) Full-time worker,(2) Female,NA,(2) Agree,15
(1) Full-time worker,(2) Female,12,(2) Agree,13.5
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,16
(1) Full-time worker,(2) Female,10,(1) Strongly agree,23.95833333334
(1) Full-time worker,(2) Female,8,(1) Strongly agree,10.70175438597
(1) Full-time worker,(2) Female,12,(2) Agree,21.27
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20.25
(2) Part-time worker,(2) Female,10,(1) Strongly agree,16.66666666667
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.25454545455
(1) Full-time worker,(2) Female,12,(2) Agree,20.19230769231
(1) Full-time worker,(2) Female,NA,(1) Strongly agree,10.75
(2) Part-time worker,(2) Female,8,(2) Agree,16.33986928105
(1) Full-time worker,(2) Female,10,(2) Agree,35.68108108109
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.30000000001
(1) Full-time worker,(2) Female,12,(4) Disagree,12.025
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18
(1) Full-time worker,(2) Female,9,(1) Strongly agree,8
(2) Part-time worker,(1) Male,7,(2) Agree,13
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10.1
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,6,(1) Strongly agree,6.6875
(1) Full-time worker,(2) Female,12,(4) Disagree,14
(2) Part-time worker,(2) Female,12,(2) Agree,NA
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,13.25
(1) Full-time worker,(2) Female,12,(2) Agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14.58333333334
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10.75
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,8.5
(1) Full-time worker,(2) Female,6,(3) Neither agree nor disagree,13.75
(2) Part-time worker,(2) Female,9,(1) Strongly agree,51.42857142858
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,8
(1) Full-time worker,(2) Female,12,(2) Agree,9
(1) Full-time worker,(2) Female,8,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,NA,12.5
(1) Full-time worker,(2) Female,4,(2) Agree,17
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.69444444445
(2) Part-time worker,(2) Female,8,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,12,(1) Strongly agree,21
(2) Part-time worker,(2) Female,5,(2) Agree,8.30000000001
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.2307692307699991
(1) Full-time worker,(2) Female,11,(1) Strongly agree,22.79411764706
(1) Full-time worker,(2) Female,4,(2) Agree,10
(2) Part-time worker,(2) Female,12,(2) Agree,14
(1) Full-time worker,(2) Female,10,(1) Strongly agree,17.10000000001
(1) Full-time worker,(2) Female,12,(4) Disagree,11
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.91575
(1) Full-time worker,(2) Female,12,(4) Disagree,8.75
(1) Full-time worker,(2) Female,12,(2) Agree,21
(1) Full-time worker,(2) Female,9,(1) Strongly agree,8.28
(1) Full-time worker,(2) Female,10,(2) Agree,15
(1) Full-time worker,(2) Female,8,(1) Strongly agree,7.25
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,13.25
(1) Full-time worker,(2) Female,7,(1) Strongly agree,20
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,10.41666666667
(1) Full-time worker,NA,12,(1) Strongly agree,12
(2) Part-time worker,(2) Female,8,(1) Strongly agree,11.5
(1) Full-time worker,(1) Male,12,(1) Strongly agree,9.6153846153899991
(1) Full-time worker,(2) Female,2,(2) Agree,15
(2) Part-time worker,(2) Female,12,(1) Strongly agree,15
(2) Part-time worker,(2) Female,8,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11
(2) Part-time worker,(1) Male,12,(1) Strongly agree,13
(1) Full-time worker,(2) Female,10,(5) Strongly disagree,22
(2) Part-time worker,(2) Female,10,(1) Strongly agree,8.75
(2) Part-time worker,(2) Female,9,(1) Strongly agree,52.08333333334
(1) Full-time worker,(2) Female,10,(2) Agree,30.55555555556
(1) Full-time worker,(2) Female,12,(4) Disagree,8.5
(1) Full-time worker,(2) Female,12,(1) Strongly agree,24.85
(1) Full-time worker,NA,12,(3) Neither agree nor disagree,16
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,30
(1) Full-time worker,(2) Female,1,(1) Strongly agree,17.31
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,33.75
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8.25
(1) Full-time worker,(2) Female,12,(4) Disagree,7.45
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,54.9575
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5
(1) Full-time worker,(2) Female,6,(1) Strongly agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,14.58333333334
(1) Full-time worker,(2) Female,10,(1) Strongly agree,26.08695652174
(1) Full-time worker,(2) Female,12,(2) Agree,17.61363636364
(2) Part-time worker,(2) Female,6,(3) Neither agree nor disagree,9.7
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20
(2) Part-time worker,(2) Female,12,(2) Agree,15
(1) Full-time worker,(2) Female,12,(2) Agree,13.65
(1) Full-time worker,(2) Female,8,(3) Neither agree nor disagree,27.48611111112
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,11
(2) Part-time worker,(2) Female,10,(2) Agree,10
(1) Full-time worker,(2) Female,12,(2) Agree,13.75
(1) Full-time worker,(2) Female,NA,(1) Strongly agree,9.45945945946
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,(1) Strongly agree,30.71428571429
(1) Full-time worker,(2) Female,2,(1) Strongly agree,16.34
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,7.80000000001
(2) Part-time worker,(2) Female,10,(1) Strongly agree,37.03703703704
(1) Full-time worker,(2) Female,10,(5) Strongly disagree,12.32
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,(2) Agree,30
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15
(1) Full-time worker,(2) Female,7,(1) Strongly agree,12
(1) Full-time worker,(2) Female,12,(2) Agree,11.11111111112
(1) Full-time worker,(1) Male,8,(2) Agree,11.84210526316
(1) Full-time worker,(2) Female,NA,(2) Agree,NA
(2) Part-time worker,(2) Female,9,(2) Agree,7.4
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.25
(2) Part-time worker,(2) Female,9,(1) Strongly agree,19.87281399047
(2) Part-time worker,(2) Female,9,(2) Agree,10.25
(1) Full-time worker,(2) Female,12,(2) Agree,12.47297297298
(1) Full-time worker,(2) Female,12,(4) Disagree,11
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.25
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,10
(1) Full-time worker,(2) Female,8,(2) Agree,10.15
