hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
9.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1992,6,27,Between 20 and 40,Less than $10
15,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1968,0,51,More than 51,Between $11 and $20
10.25,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1995,0,24,Between 20 and 40,NA
9.25925925926,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1971,9,48,Between 41 and 50,Less than $10
11,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1985,0,34,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
21.17647058824,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1958,2,61,More than 51,Between $21 and $30
NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1984,6,35,Between 20 and 40,Less than $10
9.5,(1) Aide or assistant teacher,(1) White Only,(3) GED or high school equivalency,1979,0,40,Between 20 and 40,Less than $10
7.25,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1995,5,24,Between 20 and 40,Less than $10
20.55,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(6) Associate degree (AA, AS)",1970,6,49,Between 41 and 50,NA
8.75,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1950,0,69,More than 51,Less than $10
16.7004048583,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1958,2,61,More than 51,Between $11 and $20
19.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1964,1,55,More than 51,Between $11 and $20
17.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1990,8,29,Between 20 and 40,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1969,0,50,Between 41 and 50,Between $11 and $20
12.35,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,1,23,Between 20 and 40,Between $11 and $20
20.20202020203,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1965,0,54,More than 51,NA
NA,"(2) Teacher, instructor, or lead teacher",(8) Other,(8) Graduate or professional degree,1965,0,54,More than 51,NA
13,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1992,5,27,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
9.6,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1964,1,55,More than 51,Less than $10
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1987,3,32,Between 20 and 40,Less than $10
8.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(3) GED or high school equivalency,1950,1,69,More than 51,Less than $10
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,8,23,Between 20 and 40,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1980,0,39,Between 20 and 40,Less than $10
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1962,0,57,More than 51,Between $11 and $20
15.69767441861,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1985,0,34,Between 20 and 40,Between $11 and $20
12.67,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1974,7,45,Between 41 and 50,Between $11 and $20
8,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1972,0,47,Between 41 and 50,Less than $10
10.75,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1993,5,26,Between 20 and 40,NA
14.8,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1975,4,44,Between 41 and 50,Between $11 and $20
18.38235294118,"(2) Teacher, instructor, or lead teacher",(8) Other,"(6) Associate degree (AA, AS)",1985,13,34,Between 20 and 40,Between $11 and $20
9,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1996,4,23,Between 20 and 40,Less than $10
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1963,0,56,More than 51,NA
14.28,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1977,2,42,Between 41 and 50,Between $11 and $20
11,(1) Aide or assistant teacher,(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1950,0,69,More than 51,Between $11 and $20
9.375,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1979,4,40,Between 20 and 40,Less than $10
12.6,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1995,9,24,Between 20 and 40,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1998,3,21,Between 20 and 40,Between $11 and $20
14,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1994,0,25,Between 20 and 40,Between $11 and $20
14,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1992,2,27,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1980,0,39,Between 20 and 40,NA
24.30555555556,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1980,1,39,Between 20 and 40,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1958,3,61,More than 51,NA
9,(1) Aide or assistant teacher,(1) White Only,(1) Less than High School,1998,0,21,Between 20 and 40,Less than $10
14,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1995,7,24,Between 20 and 40,Between $11 and $20
10,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1950,3,69,More than 51,Less than $10
1.5625,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1950,0,69,More than 51,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
8,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1998,2,21,Between 20 and 40,Less than $10
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1998,0,21,Between 20 and 40,Less than $10
17,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1991,7,28,Between 20 and 40,Between $11 and $20
35.88516746412,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1969,3,50,Between 41 and 50,More than $31
NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"(2) Teacher, instructor, or lead teacher",NA,(3) GED or high school equivalency,1969,0,50,Between 41 and 50,Between $11 and $20
8,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,2,23,Between 20 and 40,Less than $10
13.5,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1990,8,29,Between 20 and 40,Between $11 and $20
13.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1983,1,36,Between 20 and 40,Between $11 and $20
30.40935672515,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,NA,NA,NA,NA,NA
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1979,0,40,Between 20 and 40,Less than $10
11,"(2) Teacher, instructor, or lead teacher",NA,"(7) Bachelor's degree (BA, BS, AB)",1958,4,61,More than 51,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1974,1,45,Between 41 and 50,Between $11 and $20
NA,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1958,0,61,More than 51,NA
16.28571428572,(1) Aide or assistant teacher,(3) Asian Only,NA,1966,0,53,More than 51,Between $11 and $20
9.30000000001,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1987,1,32,Between 20 and 40,Less than $10
12.5,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1991,1,28,Between 20 and 40,Between $11 and $20
25.73099415205,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1970,1,49,Between 41 and 50,Between $21 and $30
15.03759398497,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1966,0,53,More than 51,Between $11 and $20
9,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1988,0,31,Between 20 and 40,Less than $10
11,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1994,0,25,Between 20 and 40,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1994,0,25,Between 20 and 40,Between $11 and $20
17,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1967,0,52,More than 51,Between $11 and $20
17.61,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1990,2,29,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1950,1,69,More than 51,NA
16.57,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1975,0,44,Between 41 and 50,Between $11 and $20
15.58441558442,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1958,0,61,More than 51,Between $11 and $20
19,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1980,1,39,Between 20 and 40,Between $11 and $20
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1990,2,29,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",NA,0,NA,NA,NA
10,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1996,0,23,Between 20 and 40,Less than $10
9,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1985,0,34,Between 20 and 40,Less than $10
9.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(3) GED or high school equivalency,1990,0,29,Between 20 and 40,Less than $10
17,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1983,0,36,Between 20 and 40,Between $11 and $20
24.03846153847,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(8) Graduate or professional degree,1969,5,50,Between 41 and 50,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",NA,0,NA,NA,NA
NA,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1971,0,48,Between 41 and 50,NA
12.25,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1968,0,51,More than 51,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1977,0,42,Between 41 and 50,NA
9.5,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1998,0,21,Between 20 and 40,Less than $10
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1993,3,26,Between 20 and 40,Less than $10
12,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1965,1,54,More than 51,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1988,1,31,Between 20 and 40,Less than $10
7.4,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1989,3,30,Between 20 and 40,Less than $10
17.39926739927,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1977,1,42,Between 41 and 50,Between $11 and $20
17.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1975,1,44,Between 41 and 50,Between $11 and $20
8,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1993,0,26,Between 20 and 40,Less than $10
25.74424242425,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",NA,6,NA,NA,Between $21 and $30
14.66666666667,"(2) Teacher, instructor, or lead teacher",(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1975,0,44,Between 41 and 50,Between $11 and $20
14.75,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1996,0,23,Between 20 and 40,Between $11 and $20
14,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1988,0,31,Between 20 and 40,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1987,2,32,Between 20 and 40,Between $11 and $20
12.80303030304,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1998,0,21,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1976,NA,43,Between 41 and 50,NA
22,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1958,0,61,More than 51,Between $21 and $30
10,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1963,0,56,More than 51,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1981,3,38,Between 20 and 40,NA
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(1) Less than High School,1974,0,45,Between 41 and 50,Less than $10
13.04347826087,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1983,0,36,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
11.35,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1966,0,53,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
10.8695652174,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1995,6,24,Between 20 and 40,NA
11.1,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1980,0,39,Between 20 and 40,Between $11 and $20
20,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1978,6,41,Between 41 and 50,Between $11 and $20
26.31578947369,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1950,1,69,More than 51,Between $21 and $30
20.24291497976,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1986,0,33,Between 20 and 40,NA
6.25,"(2) Teacher, instructor, or lead teacher",(8) Other,"(6) Associate degree (AA, AS)",1989,2,30,Between 20 and 40,Less than $10
12,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1988,0,31,Between 20 and 40,Between $11 and $20
26.66666666667,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1984,0,35,Between 20 and 40,Between $21 and $30
16.65,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1983,1,36,Between 20 and 40,Between $11 and $20
18.8475,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1983,4,36,Between 20 and 40,Between $11 and $20
16.25,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1985,6,34,Between 20 and 40,Between $11 and $20
13.83,"(2) Teacher, instructor, or lead teacher",(8) Other,(5) Some college credit but no degree,1986,2,33,Between 20 and 40,Between $11 and $20
8.75,"(2) Teacher, instructor, or lead teacher",NA,(4) High school graduate,1998,3,21,Between 20 and 40,Less than $10
8.1,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,3,21,Between 20 and 40,Less than $10
6.66666666667,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1964,1,55,More than 51,Less than $10
8.6,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1998,10,21,Between 20 and 40,Less than $10
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1994,3,25,Between 20 and 40,Less than $10
33.33333333334,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1962,3,57,More than 51,More than $31
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1967,0,52,More than 51,Less than $10
9.75,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1950,0,69,More than 51,Less than $10
25.51020408164,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(6) Associate degree (AA, AS)",1960,1,59,More than 51,Between $21 and $30
13.5,(1) Aide or assistant teacher,NA,"(7) Bachelor's degree (BA, BS, AB)",1986,4,33,Between 20 and 40,Between $11 and $20
51.42857142858,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1991,4,28,Between 20 and 40,More than $31
13.85,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1963,3,56,More than 51,Between $11 and $20
15.7,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1961,1,58,More than 51,Between $11 and $20
34,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1980,2,39,Between 20 and 40,More than $31
107.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1984,0,35,Between 20 and 40,More than $31
18,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1991,0,28,Between 20 and 40,Between $11 and $20
15.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1979,0,40,Between 20 and 40,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1975,2,44,Between 41 and 50,Between $11 and $20
7.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1961,2,58,More than 51,Less than $10
10.01538461539,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(3) GED or high school equivalency,1960,0,59,More than 51,NA
11.70731707318,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1972,3,47,Between 41 and 50,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,(1) Less than High School,1964,0,55,More than 51,Less than $10
11,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1985,0,34,Between 20 and 40,Between $11 and $20
12.5,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1976,5,43,Between 41 and 50,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1984,9,35,Between 20 and 40,Between $11 and $20
13.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1989,12,30,Between 20 and 40,Between $11 and $20
12,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1982,4,37,Between 20 and 40,Between $11 and $20
14,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1981,12,38,Between 20 and 40,Between $11 and $20
8,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1969,6,50,Between 41 and 50,Less than $10
NA,(1) Aide or assistant teacher,(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1975,NA,44,Between 41 and 50,NA
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1996,2,23,Between 20 and 40,Less than $10
9.79591836735,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,NA,1950,0,69,More than 51,Less than $10
12.74509803922,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1976,1,43,Between 41 and 50,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1991,3,28,Between 20 and 40,Between $11 and $20
10.4,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1985,5.6,34,Between 20 and 40,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1994,0,25,Between 20 and 40,NA
27.47252747253,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1968,0,51,More than 51,Between $21 and $30
11.111,(1) Aide or assistant teacher,(8) Other,(5) Some college credit but no degree,1996,1,23,Between 20 and 40,Between $11 and $20
25,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1968,0,51,More than 51,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1980,5,39,Between 20 and 40,NA
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,NA
13,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1966,0,53,More than 51,Between $11 and $20
12,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,1,21,Between 20 and 40,Between $11 and $20
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1995,7,24,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1960,0,59,More than 51,NA
2.5,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1991,8,28,Between 20 and 40,Less than $10
7.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1992,2,27,Between 20 and 40,Less than $10
8.22000000001,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1950,0,69,More than 51,Less than $10
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1992,0,27,Between 20 and 40,Between $11 and $20
13.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1983,0,36,Between 20 and 40,Between $11 and $20
12,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1950,0,69,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
15.4,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1987,1,32,Between 20 and 40,Between $11 and $20
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,NA,0,NA,NA,Less than $10
17.60000000001,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1983,15,36,Between 20 and 40,Between $11 and $20
13.6,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1995,2,24,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1988,0,31,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1981,1,38,Between 20 and 40,NA
21.42857142858,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1972,3,47,Between 41 and 50,Between $21 and $30
14,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1988,3,31,Between 20 and 40,Between $11 and $20
12,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1996,5,23,Between 20 and 40,Between $11 and $20
4.2,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1992,1,27,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
11,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1994,0,25,Between 20 and 40,Between $11 and $20
13.75,"(2) Teacher, instructor, or lead teacher",(8) Other,(5) Some college credit but no degree,1998,1,21,Between 20 and 40,Between $11 and $20
26.66666666667,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1982,0,37,Between 20 and 40,Between $21 and $30
35,(1) Aide or assistant teacher,(3) Asian Only,(8) Graduate or professional degree,1960,2,59,More than 51,More than $31
NA,NA,NA,NA,NA,NA,NA,NA,NA
11.7,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1990,5,29,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1977,0,42,Between 41 and 50,NA
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1973,5,46,Between 41 and 50,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,NA,1978,2,41,Between 41 and 50,NA
10.75,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1993,7,26,Between 20 and 40,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1968,0,51,More than 51,NA
15.01,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1983,9,36,Between 20 and 40,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1977,1,42,Between 41 and 50,Between $11 and $20
15,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1995,2,24,Between 20 and 40,Between $11 and $20
11.875,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1982,NA,37,Between 20 and 40,Between $11 and $20
10,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1993,2,26,Between 20 and 40,Less than $10
11.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1991,0,28,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1972,9.333333333333,47,Between 41 and 50,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1986,6,33,Between 20 and 40,NA
16,"(2) Teacher, instructor, or lead teacher",NA,(4) High school graduate,1964,NA,55,More than 51,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1987,NA,32,Between 20 and 40,NA
13,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1993,8,26,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1950,0,69,More than 51,NA
9.75,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1992,0,27,Between 20 and 40,Less than $10
