hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
13.5875,(1) Aide or assistant teacher,NA,"(7) Bachelor's degree (BA, BS, AB)",1958,0,61,More than 51,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1993,11,26,Between 20 and 40,Between $11 and $20
30.33333333334,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1968,0,51,More than 51,NA
16.66666666667,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1966,0,53,More than 51,Between $11 and $20
13,(1) Aide or assistant teacher,(3) Asian Only,(5) Some college credit but no degree,1979,0,40,Between 20 and 40,Between $11 and $20
8,"(2) Teacher, instructor, or lead teacher",(1) White Only,(3) GED or high school equivalency,1988,0,31,Between 20 and 40,Less than $10
10.4,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1998,2,21,Between 20 and 40,NA
10,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,Less than $10
54.9575,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1958,2,61,More than 51,More than $31
30.71428571429,(1) Aide or assistant teacher,(1) White Only,(8) Graduate or professional degree,1990,0,29,Between 20 and 40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
13.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1988,5,31,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,(1) Less than High School,NA,5,NA,NA,NA
21,(1) Aide or assistant teacher,(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1992,2,27,Between 20 and 40,Between $21 and $30
11.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1972,0,47,Between 41 and 50,Between $11 and $20
NA,(3) Other/undetermined,(1) White Only,(1) Less than High School,1966,0,53,More than 51,NA
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1976,0,43,Between 41 and 50,NA
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1969,3,50,Between 41 and 50,Less than $10
10,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1982,1,37,Between 20 and 40,Less than $10
8.411125,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,4,21,Between 20 and 40,Less than $10
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1982,1,37,Between 20 and 40,NA
17,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1958,0,61,More than 51,Between $11 and $20
14,(1) Aide or assistant teacher,(2) Black or African American Only,(1) Less than High School,1988,0,31,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1992,NA,27,Between 20 and 40,NA
16.84782608696,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1989,2,30,Between 20 and 40,Between $11 and $20
20.8,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1973,5.833333333333,46,Between 41 and 50,NA
10,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1994,5,25,Between 20 and 40,Less than $10
14.59,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1986,7,33,Between 20 and 40,Between $11 and $20
13.33,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1950,0,69,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1960,0,59,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1950,2,69,More than 51,Between $11 and $20
11,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1960,0,59,More than 51,Between $11 and $20
11.538461538469999,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1974,3,45,Between 41 and 50,Between $11 and $20
12.85714285715,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1970,0,49,Between 41 and 50,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1976,7,43,Between 41 and 50,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1976,1,43,Between 41 and 50,NA
7.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(3) GED or high school equivalency,1958,3,61,More than 51,Less than $10
7.25,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1988,3,31,Between 20 and 40,Less than $10
4.32,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1958,3,61,More than 51,Less than $10
NA,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1998,4,21,Between 20 and 40,NA
8.25,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1993,3,26,Between 20 and 40,Less than $10
15,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1969,0,50,Between 41 and 50,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1979,3,40,Between 20 and 40,Between $11 and $20
9.67741935484,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1981,2,38,Between 20 and 40,Less than $10
19.52380952381,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1963,0,56,More than 51,Between $11 and $20
16.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1993,2,26,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1986,1,33,Between 20 and 40,NA
17,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1963,4,56,More than 51,Between $11 and $20
23.33333333334,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(8) Graduate or professional degree,1989,5,30,Between 20 and 40,Between $21 and $30
11,(1) Aide or assistant teacher,NA,(1) Less than High School,1975,0,44,Between 41 and 50,Between $11 and $20
13.33,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1980,0,39,Between 20 and 40,Between $11 and $20
14.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1989,1,30,Between 20 and 40,Between $11 and $20
15,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1986,0,33,Between 20 and 40,Between $11 and $20
31.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1964,0,55,More than 51,More than $31
19,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1988,0,31,Between 20 and 40,Between $11 and $20
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,3,21,Between 20 and 40,Between $11 and $20
10.5,(1) Aide or assistant teacher,(1) White Only,(3) GED or high school equivalency,1980,0,39,Between 20 and 40,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1989,1,30,Between 20 and 40,NA
14,"(2) Teacher, instructor, or lead teacher",(8) Other,"(6) Associate degree (AA, AS)",1996,2,23,Between 20 and 40,Between $11 and $20
9.72222222223,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1984,3,35,Between 20 and 40,Less than $10
18.75,(1) Aide or assistant teacher,NA,(4) High school graduate,1979,5,40,Between 20 and 40,Between $11 and $20
5,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1987,4,32,Between 20 and 40,Less than $10
24.24242424243,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1966,3,53,More than 51,Between $21 and $30
21.81818181819,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1950,4,69,More than 51,Between $21 and $30
13.5,"(2) Teacher, instructor, or lead teacher",(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1996,2,23,Between 20 and 40,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1988,4,31,Between 20 and 40,Between $11 and $20
10.71428571429,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1995,0,24,Between 20 and 40,NA
16.25,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1991,2,28,Between 20 and 40,Between $11 and $20
13,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1993,0,26,Between 20 and 40,Between $11 and $20
14.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1965,4,54,More than 51,Between $11 and $20
20,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1966,3,53,More than 51,Between $11 and $20
17,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1963,0,56,More than 51,Between $11 and $20
13.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1988,0,31,Between 20 and 40,Between $11 and $20
22.26620484909,"(2) Teacher, instructor, or lead teacher",(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1985,2,34,Between 20 and 40,Between $21 and $30
